"Control Number","Control Title","Implementation Status","Responsible Entities","Implementation Description","Assessment Procedures"
"AU-2","Audit Events","Implemented","Platform Team / Logging & Audit; Platform Team / Service Mesh; Platform Team / Infrastructure Automation","Audit events are generated from multiple sources: (1) Kubernetes API server audit policy captures all authentication, authorization, resource create/read/update/delete, and admission decisions, (2) Istio access logs capture all HTTP/gRPC traffic with full request metadata, (3) OS-level auditd captures privileged command execution, file access, and system calls on all nodes, (4) OpenBao audit logs capture all secrets access and management operations. Evidence artifacts: platform/core/logging/helmrelease-alloy.yaml, infrastructure/ansible/roles/os-hardening/tasks/auditd.yml. Continuous monitoring: Prometheus alerts on audit log collection failures. Grafana dashboards show audit event volume and types.","Verify audit logging pipeline by querying Loki for recent audit events, checking Alloy DaemonSet pod status, and reviewing Grafana audit dashboards. Evidence: Loki query results, Alloy pod health, Grafana dashboard screenshots."
"AU-3","Content of Audit Records","Implemented","Platform Team / Logging & Audit","All audit records contain structured JSON with: timestamp (UTC ISO 8601), source component, user/service identity, action performed (HTTP method, K8s verb), target resource (URI, K8s resource), outcome (HTTP status, allow/deny), source IP address, and request ID for correlation. Kubernetes audit logs follow the k8s.io audit/v1 schema. Istio access logs follow Envoy access log format with SPIFFE identity fields. Evidence artifacts: platform/core/logging/helmrelease-alloy.yaml. Continuous monitoring: Log format validation via Alloy pipeline stages. Alerts on malformed audit records.","Verify audit logging pipeline by querying Loki for recent audit events, checking Alloy DaemonSet pod status, and reviewing Grafana audit dashboards. Evidence: Loki query results, Alloy pod health, Grafana dashboard screenshots."
"AU-4","Audit Storage Capacity","Implemented","Platform Team / Logging & Audit","Loki provides scalable log storage with S3-compatible object storage backend (MinIO for dev, S3 for production). Storage capacity scales with the object store. Configurable retention policies: 30 days default, 90 days for audit-classified logs. Prometheus alerts on storage capacity thresholds. Evidence artifacts: platform/core/logging/helmrelease-loki.yaml. Continuous monitoring: Prometheus metrics track Loki storage usage. AlertManager fires on storage approaching capacity thresholds.","Verify audit logging pipeline by querying Loki for recent audit events, checking Alloy DaemonSet pod status, and reviewing Grafana audit dashboards. Evidence: Loki query results, Alloy pod health, Grafana dashboard screenshots."
"AU-5","Response to Audit Processing Failures","Implemented","Platform Team / Monitoring & Observability; Platform Team / Logging & Audit","Prometheus alerts are configured for: Loki ingestion rate drops, Alloy DaemonSet pod failures, Loki disk pressure, audit log pipeline errors, and auditd service failures on nodes. AlertManager routes these critical alerts to platform administrators via configured receivers (Slack, email, PagerDuty). Evidence artifacts: platform/core/monitoring/sre-alerting-rules.yaml, platform/core/logging/helmrelease-loki.yaml. Continuous monitoring: Prometheus continuously monitors audit pipeline health. AlertManager provides multi-channel notification.","Verify audit logging pipeline by querying Loki for recent audit events, checking Alloy DaemonSet pod status, and reviewing Grafana audit dashboards. Evidence: Loki query results, Alloy pod health, Grafana dashboard screenshots."
"AU-6","Audit Review, Analysis, and Reporting","Implemented","Platform Team / Monitoring & Observability","Grafana provides centralized audit review with pre-built dashboards for: Kubernetes API audit log analysis, Istio traffic patterns, authentication failures, privilege escalation attempts, Kyverno policy violations, and NeuVector security events. LogQL queries enable ad-hoc investigation. Dashboards are exportable as PDF/PNG for compliance reporting. Evidence artifacts: platform/core/monitoring/helmrelease.yaml. Continuous monitoring: Dashboards are continuously updated with real-time data. Scheduled reports can be configured via Grafana reporting.","Verify audit logging pipeline by querying Loki for recent audit events, checking Alloy DaemonSet pod status, and reviewing Grafana audit dashboards. Evidence: Loki query results, Alloy pod health, Grafana dashboard screenshots."
"AU-8","Time Stamps","Implemented","Platform Team / Infrastructure Automation","NTP (chronyd) is configured on all cluster nodes via Ansible os-hardening role, synchronizing to approved time sources. All logs use UTC timestamps in ISO 8601 format. Kubernetes, Istio, and all platform components output timestamps in UTC. Evidence artifacts: infrastructure/ansible/roles/os-hardening/tasks/main.yml. Continuous monitoring: NTP synchronization status monitored via node_exporter metrics in Prometheus.","Verify audit logging pipeline by querying Loki for recent audit events, checking Alloy DaemonSet pod status, and reviewing Grafana audit dashboards. Evidence: Loki query results, Alloy pod health, Grafana dashboard screenshots."
"AU-9","Protection of Audit Information","Implemented","Platform Team / Logging & Audit","Audit log integrity is protected through: (1) Loki log storage encrypted at rest via object storage encryption, (2) RBAC restricts Loki/Grafana access to authorized audit team members via Keycloak groups, (3) Kubernetes RBAC prevents tenant users from accessing logging namespace resources, (4) Retention policies prevent premature deletion of audit records. Evidence artifacts: platform/core/logging/helmrelease-loki.yaml. Continuous monitoring: Access to logging namespace monitored via Kubernetes audit logs. Storage encryption verified via cloud provider controls.","Verify audit logging pipeline by querying Loki for recent audit events, checking Alloy DaemonSet pod status, and reviewing Grafana audit dashboards. Evidence: Loki query results, Alloy pod health, Grafana dashboard screenshots."
"CA-7","Continuous Monitoring","Implemented","Platform Team / Monitoring & Observability; Platform Team / Runtime Security; Platform Team / Policy Enforcement","Continuous monitoring is provided by: (1) Prometheus + Grafana for real-time infrastructure and application metrics, (2) NeuVector for runtime anomaly detection and behavioral monitoring, (3) Kyverno PolicyReports for continuous compliance assessment against security policies, (4) Loki for centralized log analysis, (5) Tempo for distributed tracing. All monitoring data feeds Grafana dashboards for unified visibility. Evidence artifacts: platform/core/monitoring/helmrelease.yaml, platform/core/runtime-security/helmrelease.yaml, platform/core/kyverno/helmrelease.yaml. Continuous monitoring: Self-monitoring: Prometheus monitors its own health and the health of all monitoring components.","Review continuous monitoring dashboards in Grafana, verify Prometheus scrape targets are healthy, and validate Kyverno background policy scan results. Evidence: Grafana dashboard exports, ServiceMonitor status, PolicyReport summary."
"CA-8","Penetration Testing","Implemented","Platform Team / Runtime Security; Platform Team / Container Registry","Automated security testing is provided by: (1) NeuVector vulnerability scanning of running containers identifying known CVEs, (2) Trivy image scanning in Harbor detecting vulnerabilities before deployment, (3) NeuVector CIS benchmark scanning validating node and container configurations against security standards. Evidence artifacts: platform/core/runtime-security/helmrelease.yaml, platform/addons/harbor/helmrelease.yaml. Continuous monitoring: Scan results reported via NeuVector dashboard and Prometheus metrics.","Review continuous monitoring dashboards in Grafana, verify Prometheus scrape targets are healthy, and validate Kyverno background policy scan results. Evidence: Grafana dashboard exports, ServiceMonitor status, PolicyReport summary."
"CM-11","User-Installed Software","Implemented","Platform Team / Policy Enforcement; Platform Team / Container Registry","User-installed software is controlled through: (1) Kyverno restrict-image-registries policy only allows images from harbor.sre.internal, blocking all other registries, (2) Kyverno verify-image-signatures policy enforces Cosign signature verification on all pod images, (3) Harbor Trivy scanning prevents deployment of images with unacceptable vulnerability levels. Evidence artifacts: policies/custom/restrict-image-registries.yaml, policies/custom/verify-image-signatures.yaml. Continuous monitoring: Kyverno PolicyReports flag attempts to use unauthorized registries. Harbor scan reports track vulnerability status of all images.","Verify GitOps baseline by checking Flux reconciliation status (flux get kustomizations -A), reviewing Kyverno policy enforcement mode, and auditing deployed component versions against pinned versions in Git. Evidence: Flux status, Git commit history, HelmRelease versions."
"CM-2","Baseline Configuration","Implemented","Platform Team / GitOps Operations","The Git repository is the authoritative baseline configuration for the entire platform. Flux CD continuously reconciles cluster state to match Git, providing automated drift detection and remediation. Every component version is pinned in HelmRelease manifests. The complete baseline is version-controlled with full Git history. Evidence artifacts: platform/flux-system/gotk-sync.yaml, platform/core/kustomization.yaml. Continuous monitoring: Flux reconciliation status reported via Prometheus metrics. Alerts fire on reconciliation failures or sustained drift.","Verify GitOps baseline by checking Flux reconciliation status (flux get kustomizations -A), reviewing Kyverno policy enforcement mode, and auditing deployed component versions against pinned versions in Git. Evidence: Flux status, Git commit history, HelmRelease versions."
"CM-3","Configuration Change Control","Implemented","Platform Team / GitOps Operations","All configuration changes follow the Git PR workflow: (1) Changes proposed as feature branches, (2) Peer review required for merge, (3) CI validates changes (linting, policy tests, compliance checks), (4) Conventional commits provide structured change descriptions, (5) Flux CD automatically applies merged changes, (6) Complete change audit trail in Git history with author, timestamp, and approval. Evidence artifacts: platform/flux-system/gotk-sync.yaml. Continuous monitoring: Git commit history provides complete change record. Flux events logged to Loki.","Verify GitOps baseline by checking Flux reconciliation status (flux get kustomizations -A), reviewing Kyverno policy enforcement mode, and auditing deployed component versions against pinned versions in Git. Evidence: Flux status, Git commit history, HelmRelease versions."
"CM-5","Access Restrictions for Change","Implemented","Platform Team / GitOps Operations; Platform Team / Policy Enforcement","Change restrictions are enforced through: (1) Git branch protection rules requiring review before merge, (2) Flux RBAC restricting reconciliation to flux-system ServiceAccount, (3) Kyverno policies preventing manual kubectl changes to platform resources, (4) Kubernetes RBAC restricting direct API access to platform namespaces. Evidence artifacts: platform/flux-system/gotk-sync.yaml, policies/custom/require-labels.yaml. Continuous monitoring: Kubernetes audit logs capture all API access attempts. Kyverno violations logged for unauthorized change attempts.","Verify GitOps baseline by checking Flux reconciliation status (flux get kustomizations -A), reviewing Kyverno policy enforcement mode, and auditing deployed component versions against pinned versions in Git. Evidence: Flux status, Git commit history, HelmRelease versions."
"CM-6","Configuration Settings","Implemented","Platform Team / Infrastructure Automation; Platform Team / Policy Enforcement; Platform Team / Kubernetes Operations","Configuration settings are enforced at three layers: (1) Ansible STIG roles apply DISA STIG for Rocky Linux 9 covering SSH, auditd, PAM, filesystem permissions, kernel parameters, FIPS mode, SELinux, and crypto policy, (2) RKE2 CIS 1.23 benchmark profile enabled by default hardening the Kubernetes control plane and kubelet, (3) Kyverno policies enforce workload configuration including security contexts, resource limits, labels, and image restrictions. Evidence artifacts: infrastructure/ansible/roles/os-hardening/tasks/main.yml, infrastructure/ansible/roles/os-hardening/tasks/sshd.yml, infrastructure/ansible/roles/os-hardening/tasks/auditd.yml, infrastructure/ansible/roles/os-hardening/tasks/crypto-policy.yml, policies/custom/require-security-context.yaml. Continuous monitoring: Kyverno background scanning reports non-compliant configurations. NeuVector CIS benchmark scanning validates runtime configuration.","Verify GitOps baseline by checking Flux reconciliation status (flux get kustomizations -A), reviewing Kyverno policy enforcement mode, and auditing deployed component versions against pinned versions in Git. Evidence: Flux status, Git commit history, HelmRelease versions."
"CM-7","Least Functionality","Implemented","Platform Team / Policy Enforcement; Platform Team / Runtime Security","Least functionality is enforced through: (1) Kyverno policies restricting capabilities (drop ALL), disallowing privileged containers, restricting volume types (no hostPath), preventing host namespace access, and blocking host ports, (2) NeuVector behavioral learning creates process whitelists and blocks unexpected processes in protect mode, (3) SELinux enforcing mode restricts process capabilities at the OS level. Evidence artifacts: policies/custom/require-security-context.yaml, policies/baseline/disallow-privileged.yaml, policies/restricted/restrict-volume-types.yaml, platform/core/runtime-security/helmrelease.yaml. Continuous monitoring: Kyverno PolicyReports track policy enforcement. NeuVector alerts on blocked processes and unexpected behavior.","Verify GitOps baseline by checking Flux reconciliation status (flux get kustomizations -A), reviewing Kyverno policy enforcement mode, and auditing deployed component versions against pinned versions in Git. Evidence: Flux status, Git commit history, HelmRelease versions."
"CM-8","Information System Component Inventory","Implemented","Platform Team / GitOps Operations; Platform Team / Container Registry","Component inventory is maintained through: (1) Flux CD tracks all deployed platform components with exact version pinning in HelmRelease manifests, (2) Harbor maintains a complete image inventory with vulnerability scan results and SBOMs for every container image, (3) Git repository provides the authoritative list of all infrastructure and platform components. Evidence artifacts: platform/flux-system/gotk-sync.yaml, platform/core/kustomization.yaml, platform/addons/harbor/helmrelease.yaml. Continuous monitoring: Flux reports all deployed component versions. Harbor tracks all image versions with scan status.","Verify GitOps baseline by checking Flux reconciliation status (flux get kustomizations -A), reviewing Kyverno policy enforcement mode, and auditing deployed component versions against pinned versions in Git. Evidence: Flux status, Git commit history, HelmRelease versions."
"IA-2","Identification and Authentication (Organizational Users)","Implemented","Platform Team / Identity Management","All organizational users authenticate via Keycloak SSO with OIDC integration. Keycloak provides: MFA enforcement for all users, password policies (complexity, expiration, history), session management with configurable timeouts, LDAP/AD federation for enterprise identity, and SAML support for government identity systems (CAC/PIV). Evidence artifacts: platform/addons/keycloak/helmrelease.yaml. Continuous monitoring: Authentication events logged and forwarded to Loki. Failed login attempts trigger Prometheus alerts.","Verify identity controls by reviewing Keycloak realm configuration, checking cert-manager certificate status, and validating Istio mTLS mode. Evidence: Keycloak admin console, kubectl get certificates -A, kubectl get peerauthentication -A."
"IA-3","Device Identification and Authentication","Implemented","Platform Team / Service Mesh","Workload (device) identity is provided by Istio mTLS with SPIFFE identities. Every workload receives a cryptographic X.509 certificate with identity spiffe://cluster.local/ns/<namespace>/sa/<serviceaccount>. Mutual authentication is enforced for all mesh communication via PeerAuthentication STRICT mode. Evidence artifacts: platform/core/istio/helmrelease-istiod.yaml (PeerAuthentication configured in HelmRelease values), platform/core/istio/helmrelease-istiod.yaml. Continuous monitoring: Istio telemetry reports mTLS connection status. Certificate issuance and rotation tracked via istiod metrics.","Verify identity controls by reviewing Keycloak realm configuration, checking cert-manager certificate status, and validating Istio mTLS mode. Evidence: Keycloak admin console, kubectl get certificates -A, kubectl get peerauthentication -A."
"IA-5","Authenticator Management","Implemented","Platform Team / Identity Management; Platform Team / Certificate Management; Platform Team / Secrets Management","Authenticator lifecycle management: (1) Keycloak enforces password policies including complexity requirements, expiration, and history, (2) cert-manager automates TLS certificate issuance, renewal, and revocation with configurable lifetimes, (3) OpenBao provides dynamic secret generation and automatic rotation for database credentials and API keys, (4) Istio workload certificates are automatically rotated by istiod with configurable TTL. Evidence artifacts: platform/core/cert-manager/helmrelease.yaml, platform/core/openbao/helmrelease.yaml, platform/addons/keycloak/helmrelease.yaml. Continuous monitoring: cert-manager metrics track certificate expiry. OpenBao audit log tracks secret access and rotation. Prometheus alerts on certificates approaching expiry.","Verify identity controls by reviewing Keycloak realm configuration, checking cert-manager certificate status, and validating Istio mTLS mode. Evidence: Keycloak admin console, kubectl get certificates -A, kubectl get peerauthentication -A."
"IA-8","Identification and Authentication (Non-Organizational Users)","Implemented","Platform Team / Service Mesh","All external traffic enters through the Istio ingress gateway which enforces authentication via RequestAuthentication (JWT validation) and AuthorizationPolicy. No unauthenticated access is permitted to platform services. External API consumers must present valid JWT tokens issued by Keycloak. Evidence artifacts: platform/core/istio/helmrelease-gateway.yaml. Continuous monitoring: Istio access logs capture all authentication decisions at the gateway. Failed authentication attempts trigger alerts.","Verify identity controls by reviewing Keycloak realm configuration, checking cert-manager certificate status, and validating Istio mTLS mode. Evidence: Keycloak admin console, kubectl get certificates -A, kubectl get peerauthentication -A."
"IR-4","Incident Handling","Implemented","Platform Team / Runtime Security; Platform Team / Monitoring & Observability","Incident handling workflow: (1) NeuVector detects runtime security events (process anomalies, network violations, file system modifications), (2) Events are forwarded to Prometheus via SYSLOG/Alloy, (3) AlertManager evaluates alert rules and routes to configured receivers (Slack, email, PagerDuty), (4) Grafana dashboards provide incident investigation with correlated metrics, logs, and traces, (5) Runbooks linked from alerts guide incident response procedures. Evidence artifacts: platform/core/runtime-security/helmrelease.yaml, platform/core/monitoring/sre-alerting-rules.yaml. Continuous monitoring: AlertManager tracks alert history. NeuVector maintains security event timeline.","Review incident response pipeline by checking AlertManager configuration, NeuVector alert history, and Grafana alert rules. Evidence: AlertManager status, NeuVector security events, PrometheusRule list."
"IR-5","Incident Monitoring","Implemented","Platform Team / Runtime Security; Platform Team / Policy Enforcement; Platform Team / Monitoring & Observability","Incident monitoring sources: (1) NeuVector runtime security events for process, network, and file system anomalies, (2) Kyverno policy violation events for security policy breaches, (3) Prometheus alert history for infrastructure and application incidents, (4) Loki log queries for historical investigation, (5) Tempo distributed traces for request-level analysis. Evidence artifacts: platform/core/runtime-security/helmrelease.yaml, platform/core/monitoring/helmrelease.yaml. Continuous monitoring: Grafana dashboards provide real-time incident monitoring. Historical data retained per configured retention policies.","Review incident response pipeline by checking AlertManager configuration, NeuVector alert history, and Grafana alert rules. Evidence: AlertManager status, NeuVector security events, PrometheusRule list."
"IR-6","Incident Reporting","Implemented","Platform Team / Monitoring & Observability","Grafana dashboards provide exportable incident reports with timeline views, affected resources, alert history, and remediation status. Reports can be exported as PDF/PNG for formal incident documentation. Kyverno PolicyReports provide compliance violation history for security incident correlation. Evidence artifacts: platform/core/monitoring/helmrelease.yaml. Continuous monitoring: Grafana reporting can be scheduled for periodic compliance and incident summary reports.","Review incident response pipeline by checking AlertManager configuration, NeuVector alert history, and Grafana alert rules. Evidence: AlertManager status, NeuVector security events, PrometheusRule list."
"MP-2","Media Access","Implemented","Platform Team / Secrets Management; Platform Team / Kubernetes Operations","Media access protection: (1) OpenBao access policies restrict secret retrieval to authorized workloads authenticated via Kubernetes ServiceAccount tokens, (2) Kubernetes Secrets are encrypted at rest using RKE2 default encryption configuration, (3) Persistent volume data protected by storage-level encryption. Evidence artifacts: platform/core/openbao/helmrelease.yaml. Continuous monitoring: OpenBao audit logs track all secret access. Encryption-at-rest status verified via RKE2 configuration.","Verify media protection by checking OpenBao seal status, Kubernetes secrets encryption at rest configuration, and storage encryption settings. Evidence: vault status, RKE2 encryption config, storage class parameters."
"RA-5","Vulnerability Scanning","Implemented","Platform Team / Container Registry; Platform Team / Runtime Security","Vulnerability scanning at multiple stages: (1) Harbor + Trivy scans all container images automatically on push with configurable severity thresholds, (2) NeuVector performs runtime vulnerability scanning of running containers detecting newly published CVEs, (3) NeuVector CIS benchmark scanning validates node and container configurations, (4) Kyverno prevents deployment of images that fail scan gates. Evidence artifacts: platform/addons/harbor/helmrelease.yaml, platform/core/runtime-security/helmrelease.yaml. Continuous monitoring: Harbor scan results available via API and UI. NeuVector vulnerability dashboard shows runtime CVE status. Prometheus alerts on critical vulnerability discoveries.","Review vulnerability scanning results from Harbor/Trivy and NeuVector runtime scans. Check scan policy configurations and vulnerability thresholds. Evidence: Harbor project scan summaries, NeuVector vulnerability reports."
"SA-10","Developer Configuration Management","Implemented","Platform Team / GitOps Operations","All platform and application configurations are managed via GitOps: (1) Git repository is the single source of truth, (2) All changes tracked with author attribution and timestamps, (3) Flux CD reconciliation provides a complete audit trail of applied configurations, (4) Branch protection and PR workflow enforce review before deployment. Evidence artifacts: platform/flux-system/gotk-sync.yaml. Continuous monitoring: Flux reconciliation events logged. Git history provides complete change audit trail.","Verify developer configuration management by reviewing Git workflow (branch protection, PR history), Flux reconciliation audit trail, and policy test results. Evidence: GitHub branch settings, Flux events, kyverno test output."
"SA-11","Developer Testing and Evaluation","Implemented","Platform Team / Policy Enforcement; Platform Team / GitOps Operations","Developer testing and evaluation: (1) Kyverno policy tests validate all security enforcement rules with pass/fail test cases, (2) Helm chart tests verify deployment correctness, (3) Infrastructure validation pipeline (task lint, task validate) checks compliance before merge, (4) JSON schema validation on all Helm chart values. Evidence artifacts: policies/tests/, apps/templates/. Continuous monitoring: CI pipeline runs tests on every PR. Validation failures block merge.","Verify developer configuration management by reviewing Git workflow (branch protection, PR history), Flux reconciliation audit trail, and policy test results. Evidence: GitHub branch settings, Flux events, kyverno test output."
